                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.95464,                0.43638,                 0.8502,                0.94151,                0.89879,                0.95463,                0.66408,                 1.0467,                0.46134,                0.88698,             0.00017338,             0.00017338,             0.00017338
                     89,                0.95355,                0.43071,                0.85049,                0.94042,                 0.9072,                0.95785,                0.65948,                  1.045,                0.46028,                0.88677,               0.000161,               0.000161,               0.000161
                     90,                0.94845,                0.42943,                0.85146,                0.93925,                0.91114,                0.95686,                0.66539,                 1.0472,                0.45785,                0.88884,             0.00014862,             0.00014862,             0.00014862
                     91,                0.94331,                0.42865,                0.85599,                0.93695,                0.90502,                0.95972,                0.66857,                 1.0501,                0.46022,                0.88808,             0.00013625,             0.00013625,             0.00013625
                     92,                0.93808,                 0.4221,                0.85766,                0.93113,                0.90856,                 0.9565,                0.67104,                 1.0482,                0.45927,                0.88819,             0.00012387,             0.00012387,             0.00012387
                     93,                0.93864,                0.42527,                0.85648,                0.94032,                 0.9055,                0.96016,                0.66982,                 1.0478,                  0.461,                0.88785,              0.0001115,              0.0001115,              0.0001115
                     94,                0.92879,                0.41644,                0.85727,                0.91426,                0.90865,                0.96207,                0.67525,                 1.0505,                 0.4591,                0.88822,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.92768,                0.41865,                0.85493,                0.89821,                0.92934,                0.96136,                0.66986,                 1.0492,                0.45773,                0.88853,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.91976,                0.41563,                0.85598,                0.92556,                0.90355,                0.96413,                0.67348,                 1.0491,                0.45674,                 0.8887,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                 0.9176,                0.41678,                 0.8533,                0.92273,                0.90633,                0.96149,                0.67136,                 1.0495,                0.45833,                0.88929,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.90733,                0.41273,                0.85363,                0.91742,                0.90784,                0.95869,                0.66999,                 1.0492,                0.45866,                0.88914,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.91858,                0.41203,                0.85593,                0.93245,                0.90274,                0.95911,                0.66897,                  1.048,                0.45605,                0.88925,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.90995,                0.41042,                0.85126,                0.93076,                0.90877,                0.96151,                0.67388,                 1.0491,                0.45693,                0.88936,             2.4875e-05,             2.4875e-05,             2.4875e-05
